coach_name,coach_id,class_start_time,class_day_of_week,class_date,class_type,muscle_focus_upper,muscle_focus_lower,client_name,client_id,subscription_plan
Alex Blake,C008,17:45,Thursday,2025-01-02,Foundation,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Phoenix Green,C012,13:45,Friday,2025-01-03,Advanced,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,09:45,Saturday,2025-01-04,Foundation,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,10:45,Tuesday,2025-01-07,Focus,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Morgan Patel,C010,19:30,Wednesday,2025-01-08,Advanced,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Sydney Romero,C011,13:30,Thursday,2025-01-09,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Alex Blake,C008,05:30,Saturday,2025-01-11,Advanced,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Jon Flynn,C014,14:15,Monday,2025-01-13,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Morgan Patel,C010,15:45,Thursday,2025-01-16,Foundation,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,06:15,Saturday,2025-01-18,Advanced,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,20:00,Tuesday,2025-01-21,Advanced,Back,Hamstrings,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,20:15,Wednesday,2025-01-22,Foundation,Back,Center Glutes,Harper Lee,CL001,unlimited
Casey Hugh,C004,11:30,Thursday,2025-01-23,Foundation,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Kendall Jones,C015,21:45,Friday,2025-01-24,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Benton Watts,C006,05:15,Saturday,2025-01-25,Focus,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,06:15,Sunday,2025-01-26,Foundation,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,21:15,Monday,2025-01-27,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Riley Chen,C009,09:45,Wednesday,2025-01-29,Foundation,Shoulders,Center Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,12:15,Sunday,2025-02-02,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,10:30,Tuesday,2025-02-04,Focus,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,08:00,Tuesday,2025-02-11,Focus,Back,Leg Wrap,Harper Lee,CL001,unlimited
Avery Harve,C002,12:15,Wednesday,2025-02-12,Focus,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Jon Flynn,C014,17:00,Thursday,2025-02-13,Foundation,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Devon Knight,C005,19:30,Friday,2025-02-14,Focus,Back,Center Glutes,Harper Lee,CL001,unlimited
Finley Yaroslavsky,C003,11:30,Saturday,2025-02-15,Foundation,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Phoenix Green,C012,15:00,Monday,2025-02-17,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Hayden Klo,C001,21:00,Thursday,2025-02-20,Advanced,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Sydney Romero,C011,12:45,Saturday,2025-02-22,Foundation,Back,Hamstrings,Harper Lee,CL001,unlimited
Morgan Patel,C010,06:00,Sunday,2025-02-23,Focus,Back,Outer Glutes,Harper Lee,CL001,unlimited
Kendall Jones,C015,13:15,Tuesday,2025-02-25,Focus,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Devon Knight,C005,17:15,Wednesday,2025-02-26,Focus,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,07:00,Thursday,2025-02-27,Focus,Back,Leg Wrap,Harper Lee,CL001,unlimited
Avery Harve,C002,11:30,Friday,2025-02-28,Foundation,Triceps,Leg Wrap,Harper Lee,CL001,unlimited
Kendall Jones,C015,09:30,Saturday,2025-03-01,Foundation,Arm Wrap,Hamstrings,Harper Lee,CL001,unlimited
Devon Knight,C005,14:15,Tuesday,2025-03-04,Focus,Biceps,Outer Glutes,Harper Lee,CL001,unlimited
Riley Chen,C009,20:30,Thursday,2025-03-06,Advanced,Arm Wrap,Leg Wrap,Harper Lee,CL001,unlimited
Sydney Romero,C011,18:30,Monday,2025-03-10,Foundation,Triceps,Hamstrings,Harper Lee,CL001,unlimited
Sydney Romero,C011,13:15,Wednesday,2025-03-12,Focus,Back,Center Glutes,Harper Lee,CL001,unlimited
Riley Chen,C009,05:00,Saturday,2025-03-15,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Jon Flynn,C014,16:15,Monday,2025-03-17,Focus,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,06:30,Tuesday,2025-03-18,Foundation,Biceps,Leg Wrap,Harper Lee,CL001,unlimited
Benton Watts,C006,18:15,Thursday,2025-03-20,Advanced,Biceps,Hamstrings,Harper Lee,CL001,unlimited
Dette Ellis,C013,10:45,Friday,2025-03-21,Foundation,Triceps,Center Glutes,Harper Lee,CL001,unlimited
Dette Ellis,C013,12:30,Sunday,2025-03-23,Foundation,Arm Wrap,Center Glutes,Harper Lee,CL001,unlimited
Jon Flynn,C014,06:45,Monday,2025-03-24,Foundation,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Devon Knight,C005,12:15,Wednesday,2025-03-26,Foundation,Biceps,Center Glutes,Harper Lee,CL001,unlimited
Benton Watts,C006,13:00,Thursday,2025-03-27,Advanced,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,21:45,Sunday,2025-03-30,Focus,Back,Outer Glutes,Harper Lee,CL001,unlimited
Avery Harve,C002,17:15,Wednesday,2025-04-02,Foundation,Shoulders,Leg Wrap,Harper Lee,CL001,unlimited
Riley Chen,C009,11:30,Friday,2025-04-04,Focus,Triceps,Outer Glutes,Harper Lee,CL001,unlimited
Sydney Romero,C011,08:30,Sunday,2025-04-06,Focus,Shoulders,Outer Glutes,Harper Lee,CL001,unlimited
Tylor Tquinn,C007,14:15,Wednesday,2025-04-09,Foundation,Shoulders,Hamstrings,Harper Lee,CL001,unlimited
Morgan Patel,C010,14:45,Friday,2025-04-11,Focus,Arm Wrap,Outer Glutes,Harper Lee,CL001,unlimited
Devon Knight,C005,11:45,Saturday,2025-04-12,Advanced,Back,Outer Glutes,Harper Lee,CL001,unlimited
